Date,Portfolio_MTM_Return
2019-01-31,0.014048555298733872
2019-02-28,0.013744333867941754
2019-03-31,0.012341666627357233
2019-04-30,0.02619988897799029
2019-05-31,0.0039034441587958058
2019-06-30,0.023935555699690178
2019-07-31,0.012476222067605089
2019-08-31,0.023258998679202766
2019-09-30,0.0042869992216730555
2019-10-31,0.01730822246856139
2019-11-30,0.014973777932394914
2019-12-31,0.025397777319167633
2020-01-31,0.0013999994103583773
2020-02-29,0.005623444040867526
2020-03-31,0.018690666485843194
2020-04-30,0.04007911205977897
2020-05-31,0.013987000047171332
2020-06-30,0.016453778639964858
2020-07-31,0.026026333679256445
2020-08-31,0.018883888718547976
2020-09-30,0.0278895547326779
2020-10-31,0.02264788845910567
2020-11-30,0.018808444984294112
2020-12-31,0.04340544491353711
2021-01-31,-0.004382778026737558
2021-02-28,0.031175555463833514
2021-03-31,0.017115111611651315
2021-04-30,0.015171000023585644
2021-05-31,0.0198858887657193
2021-06-30,-0.00039600002358567235
2021-07-31,0.00797722279876069
2021-08-31,0.00591111128145204
2021-09-30,0.025261445055051093
2021-10-31,0.036416221831748426
2021-11-30,0.022862666650942897
2021-12-31,0.009892778380522545
2022-01-31,0.013008888954404618
2022-02-28,0.010909666580185896
2022-03-31,0.01771255704407306
2022-04-30,0.02021822223270475
2022-05-31,0.02218488874213363
2022-06-30,0.01889666698114219
2022-07-31,-0.005093556006303813
2022-08-31,-0.0078224451965651
2022-09-30,-0.003879777838052258
2022-10-31,-0.0020087785220365127
2022-11-30,0.017000889237432624
2022-12-31,0.04028511078615308
2023-01-31,0.03734555428455032
2023-02-28,0.013678889661974551
2023-03-31,0.019087667712297772
2023-04-30,0.007405221808162775
2023-05-31,-0.0076156661320582845
2023-06-30,0.002682666886799547
2023-07-31,0.03579522216194775
2023-08-31,0.002176889143089924
2023-09-30,0.01175722209119074
2023-10-31,0.01185722256290405
2023-11-30,0.011085111022009724
2023-12-31,-0.0028321116588226483
2024-01-31,0.005051444347481156
2024-02-29,0.025756222303461737
2024-03-31,0.024321111635236987
2024-04-30,0.01935355565251883
2024-05-31,-0.0024458892374326054
2024-06-30,0.011216778356936874
2024-07-31,0.017800443970110533
2024-08-31,0.0087936678538118
2024-09-30,0.026675000000000008
2024-10-31,0.021073222822346336
2024-11-30,0.018624777130482318
2024-12-31,0.009567555393076526
