Date,SPY,Startar,Svelland,Geosol,LCAO,Aravali AFO,India Strategy,Brahman Kova,AAAP MAC,Lim Advisors,Wizard Neutral,Wizard Global,Caxton,RV,Schonfeld,ADAPT
Nov-21,-0.80%,16.80%,0.23%,-1.70%,0.20%,0.08%,0.56%,1.67%,-0.22%,-1.66%,1.02%,4.49%,-0.83%,3.10%,1.61%,4.00%
Dec-21,4.62%,3.43%,4.10%,-1.80%,-2.60%,0.65%,1.53%,0.23%,2.00%,2.59%,-1.90%,0.76%,1.06%,2.40%,2.53%,1.16%
Jan-22,-5.27%,3.57%,0.21%,18.20%,1.30%,0.75%,1.08%,1.33%,5.24%,-1.59%,0.25%,-10.17%,11.02%,0.20%,1.58%,10.48%
Feb-22,-2.95%,-9.40%,8.41%,3.40%,-0.30%,-0.14%,0.64%,0.62%,3.84%,1.47%,1.76%,6.80%,5.82%,1.10%,0.29%,9.41%
Mar-22,3.76%,3.86%,14.91%,6.10%,-2.90%,1.23%,1.82%,-0.92%,4.75%,-1.27%,3.39%,-3.05%,4.44%,1.50%,4.76%,3.58%
Apr-22,-8.78%,20.70%,-2.65%,3.80%,-0.80%,0.41%,0.90%,1.11%,4.45%,0.32%,-0.04%,-11.23%,4.54%,3.40%,1.15%,3.79%
May-22,0.23%,4.63%,1.94%,-1.40%,-1.30%,0.42%,0.89%,1.74%,2.51%,2.74%,2.72%,10.38%,2.67%,-2.10%,1.18%,3.54%
Jun-22,-8.25%,0.15%,-2.86%,1.80%,6.10%,0.31%,0.57%,0.57%,-0.44%,0.34%,2.22%,11.91%,-1.35%,0.50%,1.77%,0.32%
Jul-22,9.21%,-9.98%,4.30%,18.60%,-3.60%,1.11%,2.43%,1.52%,-0.23%,2.37%,2.21%,1.08%,-2.14%,0.40%,-0.20%,-2.76%
Aug-22,-4.08%,-12.50%,0.38%,-2.60%,1.70%,0.01%,1.58%,2.53%,4.10%,1.17%,-2.42%,-4.65%,2.44%,-1.50%,-0.34%,0.57%
Sep-22,-9.24%,12.10%,-0.93%,3.20%,-8.50%,0.85%,0.43%,0.20%,4.23%,-0.91%,-1.29%,-7.82%,4.80%,-1.50%,-0.03%,1.35%
Oct-22,8.13%,4.61%,8.50%,1.50%,-9.80%,0.77%,2.01%,0.81%,2.87%,2.62%,-0.73%,0.52%,-2.43%,3.30%,-2.03%,0.14%
Nov-22,5.56%,-2.06%,4.90%,-3.50%,8.30%,0.32%,1.69%,-0.85%,0.32%,0.54%,0.30%,6.51%,-1.51%,6.40%,0.48%,-3.96%
Dec-22,-6.19%,15.90%,0.43%,13.50%,11.90%,1.28%,0.47%,2.30%,3.74%,0.34%,1.79%,-2.17%,4.45%,7.20%,1.06%,-0.18%
Jan-23,6.29%,12.50%,4.09%,1.90%,9.80%,1.25%,1.46%,2.76%,0.78%,3.38%,-0.94%,5.98%,-2.03%,7.00%,-2.09%,0.60%
Feb-23,-2.51%,0.59%,4.21%,-0.40%,1.20%,0.16%,1.26%,-0.62%,1.47%,2.16%,1.12%,1.38%,0.14%,-2.90%,2.33%,0.57%
Mar-23,3.31%,-0.71%,-0.82%,3.60%,4.30%,1.42%,1.10%,-0.86%,-6.43%,2.36%,3.43%,4.92%,-5.27%,-9.60%,3.13%,5.58%
Apr-23,1.60%,0.12%,-0.99%,0.70%,0.20%,0.58%,0.90%,0.13%,-0.66%,3.28%,4.65%,3.97%,-3.69%,-2.20%,-1.45%,-4.53%
May-23,0.46%,-7.56%,-3.20%,4.80%,-2.00%,0.40%,1.16%,0.46%,-0.29%,1.88%,1.61%,-0.88%,-6.96%,-2.90%,2.50%,-0.69%
Jun-23,6.09%,-7.43%,0.40%,-12.40%,1.90%,0.12%,1.32%,-0.93%,-0.04%,4.46%,2.59%,2.91%,-4.47%,1.40%,-0.09%,-5.65%
Jul-23,3.27%,12.70%,2.90%,-4.30%,7.80%,1.15%,1.20%,1.61%,1.96%,3.71%,-0.88%,0.82%,0.61%,0.80%,1.38%,1.10%
Aug-23,-1.63%,-5.40%,-1.28%,-2.90%,0.10%,0.65%,2.16%,0.85%,1.36%,1.33%,1.31%,-3.34%,1.22%,-3.00%,1.82%,0.76%
Sep-23,-5.08%,2.53%,-0.09%,-0.50%,0.10%,0.17%,0.70%,1.45%,2.65%,1.91%,0.48%,-0.56%,4.16%,-0.60%,0.95%,2.46%
Oct-23,-2.17%,1.17%,-4.50%,-2.70%,0.10%,0.59%,1.71%,0.33%,3.94%,2.66%,0.68%,-1.09%,6.84%,2.70%,1.63%,1.88%
Nov-23,9.13%,0.49%,3.70%,10.40%,-0.10%,0.93%,2.64%,1.30%,-0.32%,3.46%,2.16%,1.74%,-3.36%,5.20%,0.96%,-6.46%
Dec-23,4.14%,-6.41%,3.84%,1.90%,0.70%,1.06%,1.74%,2.60%,1.33%,-1.15%,-0.85%,-3.11%,2.53%,5.30%,0.51%,-2.08%
Jan-24,1.59%,-1.03%,1.10%,3.40%,-0.40%,1.03%,3.10%,1.59%,1.50%,2.81%,1.06%,-12.50%,-0.38%,1.90%,1.22%,1.23%
Feb-24,5.22%,3.52%,1.70%,4.10%,2.70%,0.30%,1.70%,1.28%,-1.28%,6.39%,-1.21%,12.97%,-3.88%,2.80%,1.59%,-0.70%
Mar-24,2.95%,2.47%,2.21%,2.60%,3.40%,0.70%,1.80%,0.79%,2.77%,3.79%,2.44%,1.60%,4.10%,0.40%,2.79%,-2.25%
Apr-24,-4.03%,-2.04%,3.40%,0.70%,5.60%,0.56%,2.00%,0.83%,2.74%,2.81%,-2.51%,2.89%,4.24%,-2.90%,1.20%,2.85%
May-24,2.91%,-11.30%,-0.23%,-2.70%,-0.50%,0.40%,2.50%,2.19%,0.07%,3.73%,1.72%,-0.66%,-0.52%,1.90%,0.86%,-5.54%
Jun-24,5.35%,-0.07%,0.54%,5.90%,2.30%,0.21%,2.70%,0.42%,-0.50%,2.42%,0.62%,-4.79%,-3.34%,1.50%,2.63%,1.18%
Jul-24,1.21%,7.21%,1.50%,6.70%,-0.60%,0.72%,2.30%,1.91%,2.21%,1.48%,1.40%,1.39%,4.36%,3.60%,0.10%,-0.68%
Aug-24,2.34%,4.65%,-1.61%,5.60%,-0.10%,0.66%,2.80%,-1.78%,-0.83%,-0.42%,-0.16%,-4.07%,2.50%,3.10%,2.75%,1.63%
Sep-24,1.79%,0.62%,2.07%,-2.00%,7.00%,0.87%,1.30%,0.90%,3.23%,-1.01%,-2.87%,22.42%,5.54%,2.60%,0.90%,3.25%
Oct-24,-0.89%,11.00%,1.80%,6.00%,1.20%,0.54%,0.40%,-0.68%,0.02%,-0.11%,3.88%,5.15%,-2.15%,-6.00%,1.61%,0.78%
Nov-24,5.96%,2.62%,-3.40%,-2.50%,3.10%,0.57%,1.30%,2.48%,3.32%,3.65%,3.13%,5.04%,1.20%,2.50%,0.01%,-3.96%
Dec-24,-2.73%,1.07%,1.30%,-9.80%,4.30%,0.61%,-2.12%,0.99%,1.05%,2.22%,0.27%,0.27%,-1.48%,-0.60%,0.37%,1.38%
Jan-25,2.69%,3.31%,0.66%,-4.05%,5.90%,1.40%,1.99%,3.54%,1.41%,2.01%,0.67%,-1.69%,2.50%,2.50%,1.74%,3.60%
Feb-25,-1.27%,-4.30%,-4.34%,11.92%,3.30%,0.87%,0.46%,2.83%,0.95%,1.67%,1.72%,7.52%,4.48%,2.60%,1.26%,0.09%
Mar-25,-5.86%,5.20%,-6.33%,-0.34%,0.30%,0.35%,2.57%,1.58%,1.77%,4.97%,1.96%,1.88%,1.28%,4.00%,0.63%,7.21%
Apr-25,-0.87%,4.76%,-1.06%,-5.57%,1.40%,0.75%,1.35%,-4.17%,3.86%,4.05%,1.50%,-1.61%,5.81%,2.70%,0.44%,15.37%
May-25,6.28%,1.70%,1.24%,-1.37%,0.90%,1.08%,1.10%,1.82%,-0.44%,1.14%,1.31%,2.67%,-2.54%,1.60%,0.98%,-2.65%
